TotalPurchases,TotalSpent,MembershipLevel,LastPurchaseDate,Churn,FavoriteCategory,Customer ID
22,9683.924923515258,Gold,2023-12-15,0.0,Furniture,10651
8,4711.496584756383,Silver,2023-10-22,0.0,Home and Kitchen,18635
52,615.9670096701241,Bronze,2023-03-12,1.0,Home and Kitchen,13537
31,2379.2941121099166,Silver,2023-08-30,1.0,Sports and Outdoors,18487
64,3690.7057209694763,Silver,2023-12-25,,Health & Personal Care,12442
85,9818.871218052609,Gold,2023-11-23,0.0,Home and Kitchen,19807
104,9178.570103224716,Gold,,0.0,Electronics,14172
95,6215.4812412637375,Gold,2023-11-12,,Grocery,14348
48,1662.3775295459102,Silver,2023-01-08,1.0,Home and Kitchen,17541
19,9202.653761660447,Gold,2023-10-29,0.0,Health & Personal Care,17700
10,341.67399156449983,Bronze,2023-02-15,1.0,Grocery,17175
104,2126.7675227196755,Silver,2023-04-22,1.0,Grocery,18010
47,1764.4259944169844,Silver,2023-02-15,1.0,Beauty,15735
8,12000.472984840244,Platinum,2023-11-19,0.0,Electronics,10794
75,4773.931587669211,Silver,2023-08-24,1.0,Beauty,15518
44,11745.441422025924,Platinum,2023-12-11,0.0,Pet Supplies,10736
70,9899.615745295974,Gold,2023-12-09,0.0,Sports and Outdoors,18815
54,3849.5551275244306,Silver,,1.0,Furniture,16909
3,9724.87520348754,Gold,2023-11-29,0.0,Furniture,18064
100,7271.779565380812,Gold,2023-11-06,0.0,Sports and Outdoors,10695
89,4544.127875328635,Silver,2023-01-01,1.0,Electronics,14262
32,6192.567156739652,Gold,2023-11-26,0.0,Furniture,11177
103,11049.927458990505,Platinum,2023-08-24,1.0,Health & Personal Care,15508
19,11553.03995063222,Platinum,2023-10-28,0.0,Grocery,14058
73,849.6976810313012,Bronze,2023-04-21,1.0,Home and Kitchen,13247
21,789.7449809201478,Bronze,2023-03-29,1.0,Electronics,11608
5,13061.762352796251,Platinum,2023-12-23,0.0,Pet Supplies,10287
48,13246.933769489713,Platinum,2023-11-23,0.0,Sports and Outdoors,14635
95,4584.489006936702,Silver,2023-05-12,1.0,Pet Supplies,13398
91,2299.3280545203174,Silver,2023-01-06,1.0,Grocery,16614
4,4929.921702549905,Silver,2023-08-18,1.0,Pet Supplies,16440
88,3625.2896189779053,Silver,2023-07-31,1.0,Electronics,13034
93,1028.5128771632708,Silver,2023-08-05,1.0,Beauty,14019
99,7773.4217800562365,Gold,2023-12-11,0.0,Pet Supplies,16354
72,10220.937366189974,Platinum,2023-12-19,0.0,Health & Personal Care,19654
31,3777.9597729655707,Silver,2023-05-08,1.0,Electronics,16244
80,2039.8213729529696,Silver,2023-08-05,1.0,Grocery,10819
95,12280.837305374942,Platinum,2023-11-20,0.0,Beauty,15064
70,12604.440602810871,Platinum,2023-12-03,0.0,Home and Kitchen,19922
100,7380.576887557466,Gold,2023-12-05,0.0,Sports and Outdoors,10357
8,12458.718107573686,Platinum,2023-11-20,0.0,Electronics,15514
62,12827.765537027677,Platinum,2023-12-01,0.0,Pet Supplies,14853
46,8556.664796215151,Gold,2023-11-23,0.0,Electronics,10892
77,1656.3132775638323,Silver,2023-06-16,1.0,Office Products,16570
42,2587.6738505500475,Silver,2023-09-21,1.0,Sports and Outdoors,11627
56,1353.4667315107508,Silver,2023-05-11,1.0,Home and Kitchen,18332
50,4433.053306700807,Silver,2023-07-10,1.0,Electronics,16606
62,7454.8479930855865,Gold,2023-11-13,0.0,Home and Kitchen,15160
3,138.12006470984943,Bronze,2023-01-18,1.0,Home and Kitchen,15908
23,4434.612425817962,Silver,2023-02-11,1.0,Pet Supplies,13249
37,2367.341757107876,Silver,2023-06-26,1.0,Sports and Outdoors,17814
88,10179.809917809704,Platinum,2023-11-21,0.0,Clothing,14451
25,12538.093898925057,Platinum,2023-11-29,0.0,Sports and Outdoors,10039
54,4882.021373202811,Silver,2023-05-08,1.0,Home and Kitchen,15881
7,5188.13820863863,Gold,2023-11-25,0.0,Health & Personal Care,14710
54,2753.0825942043252,Silver,2023-11-19,0.0,Electronics,17478
49,12055.883921326938,Platinum,2023-11-21,0.0,Home and Kitchen,18326
26,3837.4611662614825,Silver,2023-03-06,1.0,Sports and Outdoors,18470
60,9454.353908537907,Gold,2023-12-16,0.0,Health & Personal Care,19000
104,2062.722664358253,Silver,2023-01-05,1.0,Furniture,12352
32,2298.170010468848,Silver,2023-04-13,1.0,Pet Supplies,10014
75,815.9691005819786,Bronze,,0.0,Beauty,14332
50,2827.8145678057176,Silver,2023-08-08,1.0,Grocery,14921
26,4584.690804680686,Silver,2023-11-18,0.0,Grocery,17538
44,11911.177333658601,Platinum,2023-06-12,1.0,Home and Kitchen,17841
84,7854.033466275877,Gold,2023-11-20,0.0,Office Products,11007
98,12562.634024038876,Platinum,2023-12-09,0.0,Sports and Outdoors,11829
21,7470.076401130853,Gold,2023-12-18,0.0,Health & Personal Care,15828
8,6184.093884165824,Gold,2023-12-02,0.0,Home and Kitchen,15176
74,1284.2221250831574,Silver,2023-03-17,1.0,Office Products,17823
66,6377.892769555894,Gold,2023-10-04,0.0,Office Products,13653
30,6759.460219899203,Gold,2023-08-12,1.0,Grocery,12800
86,2972.8993705743164,Silver,2023-04-16,1.0,Electronics,10407
63,2364.2737550883535,Silver,2023-11-14,0.0,Home and Kitchen,11117
65,3301.3573003431593,Silver,2023-12-01,0.0,Furniture,18219
34,6073.751964564327,Gold,2023-01-05,1.0,Electronics,17761
16,10727.22261304536,Platinum,2023-12-26,0.0,Pet Supplies,16459
75,9927.037895312753,Gold,2023-12-10,0.0,Home and Kitchen,19467
66,191.20129829881333,Bronze,2023-06-04,1.0,Pet Supplies,12012
93,1515.1730611851895,Silver,2023-07-10,1.0,Electronics,19640
79,11706.31482577067,Platinum,2023-12-26,0.0,Health & Personal Care,13787
101,2438.2743387655764,Silver,2023-12-13,0.0,Furniture,18955
6,13004.895892047607,Platinum,2023-04-04,1.0,Sports and Outdoors,13666
10,3522.6242935142254,Silver,2023-05-08,1.0,Clothing,12773
101,2443.2278562601646,Silver,2023-07-11,1.0,Electronics,17446
48,13012.310256660552,Platinum,2023-12-29,0.0,Beauty,17491
63,9219.984727268291,Gold,2023-11-18,0.0,Clothing,16221
102,4571.049820474771,Silver,2023-04-27,1.0,Clothing,13460
20,10120.14224476737,Platinum,2023-08-22,1.0,Pet Supplies,10327
33,9225.23662678882,Gold,2023-12-21,0.0,Clothing,12250
48,10774.055436555485,Platinum,2023-12-26,0.0,Home and Kitchen,16243
77,8921.839820573568,Gold,2023-08-24,1.0,Health & Personal Care,14098
102,12061.912945733056,Platinum,2023-09-06,1.0,Health & Personal Care,12426
37,4455.538350488585,Silver,2023-10-24,0.0,Sports and Outdoors,19798
11,4230.065378732624,Silver,2023-08-31,1.0,Office Products,14225
95,6305.682972564627,Gold,2023-12-26,0.0,Beauty,16708
29,5002.6188721285425,Gold,2023-12-03,0.0,Office Products,18130
91,4232.808854692872,Silver,2023-10-05,0.0,Beauty,11135
96,5557.52962014496,Gold,2023-11-23,0.0,Beauty,12047
21,7135.881634190713,Gold,2023-12-16,0.0,Electronics,11930
81,8833.46105890479,Gold,2023-11-06,0.0,Furniture,19625
70,10226.133316883608,Platinum,2023-04-08,1.0,Pet Supplies,11982
34,5577.8774458467005,Gold,2023-07-27,1.0,Electronics,13859
60,2341.4055346498435,Silver,2023-10-15,0.0,Sports and Outdoors,19745
59,4809.72598438951,Silver,2023-10-24,0.0,Pet Supplies,17207
88,8750.317993817653,Gold,2023-11-30,0.0,Electronics,14765
46,10245.604713935663,Platinum,2023-07-09,1.0,Home and Kitchen,12875
65,4985.5664732973355,Silver,2023-09-30,1.0,Clothing,19551
60,267.9060965939529,Bronze,2023-11-10,0.0,Sports and Outdoors,19297
47,9634.853608278274,Gold,2023-12-10,0.0,Office Products,13266
78,11663.06483294817,Platinum,2023-02-08,1.0,Office Products,19839
38,182.16779972476775,Bronze,2023-03-24,1.0,Beauty,14114
46,432.6857781144074,Bronze,2023-03-28,1.0,Clothing,11308
89,12629.899939512812,Platinum,2023-12-30,0.0,Health & Personal Care,10820
53,8555.69111357102,Gold,2023-11-30,0.0,Grocery,16795
83,5858.359753354011,Gold,2023-11-16,,Beauty,16568
73,4602.332872376401,Silver,2023-07-19,1.0,Clothing,19674
64,2171.0480984354244,Silver,2023-05-23,1.0,Pet Supplies,14496
34,9565.712049482156,Gold,2023-12-16,0.0,Clothing,16539
6,873.0398639963358,Bronze,2023-01-12,1.0,Sports and Outdoors,12119
96,1895.5589597062092,Silver,2023-10-20,0.0,Grocery,11845
9,6611.5573667428935,Gold,2023-10-30,0.0,Pet Supplies,10222
59,1849.8534139334497,Silver,2023-07-10,1.0,Office Products,13819
57,57.42180874264407,Bronze,2023-11-04,0.0,Furniture,10471
38,10981.528793354517,Platinum,2023-11-27,0.0,Pet Supplies,13006
52,1496.5754216996002,Silver,2023-03-09,1.0,Sports and Outdoors,19020
61,3986.859931334209,Silver,2023-02-18,1.0,Grocery,12734
73,12103.636573007972,Platinum,2023-11-15,0.0,Health & Personal Care,19663
99,6187.066718456847,Gold,2023-12-19,0.0,Office Products,10207
90,5825.230978711085,Gold,,0.0,Pet Supplies,11337
56,7304.345764262054,Gold,2023-10-24,0.0,Clothing,14200
79,5802.031662233178,Gold,2023-09-14,1.0,Grocery,12125
98,3175.0852233922838,Silver,2023-08-08,1.0,Grocery,18104
85,8436.724754914063,Gold,2023-09-24,1.0,Electronics,17960
86,6754.751675436727,Gold,2023-12-14,0.0,Health & Personal Care,16056
25,821.1268979450192,Bronze,,1.0,Office Products,19566
34,6386.070247889211,Gold,2023-11-29,0.0,Electronics,10268
22,13142.388951433824,Platinum,2023-11-18,0.0,Sports and Outdoors,19558
61,10987.085477630322,Platinum,2023-11-16,0.0,Health & Personal Care,13610
15,10727.269151503902,Platinum,2023-11-11,0.0,Pet Supplies,19573
53,3932.8746306440926,Silver,2023-06-01,1.0,Office Products,14342
99,2448.4801729416586,Silver,2023-03-09,1.0,Sports and Outdoors,10446
16,10454.74174740103,Platinum,2023-01-24,1.0,Pet Supplies,13568
103,1238.0902483454677,Silver,2023-01-28,1.0,Beauty,10359
23,8838.880101869323,Gold,2023-11-23,0.0,Clothing,13400
18,13090.957279372393,Platinum,2023-11-10,0.0,Sports and Outdoors,16216
39,5172.777437081493,Gold,2023-12-17,0.0,Sports and Outdoors,17190
13,8179.224572604658,Gold,2023-02-02,1.0,Clothing,18696
23,11748.909953495295,Platinum,2023-12-24,0.0,Health & Personal Care,16657
104,464.2221787205211,Bronze,,0.0,Grocery,18545
30,5455.990155872119,Gold,2023-12-09,0.0,Home and Kitchen,12080
18,6544.927526482277,Gold,2023-12-30,0.0,Health & Personal Care,10550
18,11926.806307870105,Platinum,2023-11-10,0.0,Sports and Outdoors,12390
78,9528.236101165081,Gold,2023-12-08,0.0,Office Products,14176
52,7844.58638710798,Gold,,0.0,Electronics,12648
84,357.6071852247669,Bronze,2023-03-07,1.0,Pet Supplies,17039
6,608.7271040538157,Bronze,2023-08-10,1.0,Home and Kitchen,13778
51,3960.6567376127796,Silver,2023-03-03,1.0,Home and Kitchen,16116
58,4291.876002003409,Silver,2023-08-13,1.0,Furniture,16955
103,4765.315876544052,Silver,,0.0,Clothing,10689
6,5862.216824146484,Gold,2023-11-30,0.0,Beauty,15670
14,11847.229372879623,Platinum,2023-12-18,0.0,Clothing,17254
85,4929.221560345925,Silver,2023-05-31,1.0,Health & Personal Care,19582
19,1167.5027908388845,Silver,2023-10-23,0.0,Pet Supplies,19200
68,11735.832638241642,Platinum,2023-12-09,0.0,Sports and Outdoors,15431
90,10999.371148306602,Platinum,2023-12-27,0.0,Office Products,10224
94,3306.7150703769767,Silver,2023-03-24,1.0,Electronics,16522
18,5585.990673637436,Gold,2023-12-06,0.0,Electronics,18426
7,3571.509592958121,Silver,2023-12-20,0.0,Clothing,15196
86,6211.428357625598,Gold,2023-06-22,1.0,Sports and Outdoors,14834
101,9543.979750075141,Gold,2023-12-07,0.0,Pet Supplies,12487
9,2562.553540408689,Silver,2023-07-17,1.0,Furniture,10028
19,3466.429807780758,Silver,2023-05-11,1.0,Health & Personal Care,10109
61,4093.5900744969936,Silver,2023-10-27,0.0,Office Products,13273
68,12393.832183584043,Platinum,2023-11-07,0.0,Pet Supplies,11591
66,5047.8649738232825,Gold,2023-12-05,0.0,Grocery,16752
48,12716.400885552524,Platinum,2023-12-27,0.0,Office Products,10896
89,4593.53881598969,Silver,2023-04-06,1.0,Office Products,19804
30,12914.719194879113,Platinum,2023-12-01,0.0,Beauty,13626
35,73.62966091533188,Bronze,2023-01-03,1.0,Grocery,14647
88,5670.610559132895,Gold,2023-11-02,0.0,Office Products,11912
64,9296.300241346491,Gold,2023-11-15,,Furniture,11570
40,2042.3208507849372,Silver,2023-04-26,1.0,Sports and Outdoors,12208
32,5314.272830299425,Gold,2023-08-13,1.0,Electronics,12218
68,4256.339840474416,Silver,2023-10-24,0.0,Home and Kitchen,10726
29,805.2245473849935,Bronze,2023-04-15,1.0,Clothing,19083
61,12404.113934572853,Platinum,2023-11-16,0.0,Office Products,16598
33,6470.122357321173,Gold,2023-10-18,0.0,Pet Supplies,14781
35,10434.846443519062,Platinum,2023-12-23,0.0,Clothing,11245
24,7384.007020053057,Gold,2023-11-23,0.0,Electronics,18596
56,648.6185841726632,Bronze,2023-05-20,1.0,Pet Supplies,17057
26,3432.6490694202776,Silver,2023-09-04,1.0,Office Products,18931
83,7806.489872114176,Gold,2023-12-28,0.0,Electronics,15859
32,1918.5227261896887,Silver,2023-09-30,1.0,Sports and Outdoors,19630
23,9779.72624617802,Gold,2023-12-21,0.0,Grocery,17440
19,9926.017038455138,Gold,2023-12-21,0.0,Office Products,14883
47,6070.352852307288,Gold,,1.0,Home and Kitchen,15858
72,11207.927154182953,Platinum,2023-04-14,1.0,Home and Kitchen,12846
64,2527.265431325462,Silver,2023-06-21,1.0,Home and Kitchen,15832
30,2195.224791450468,Silver,,1.0,Electronics,18821
43,2999.314771595668,Silver,2023-05-29,1.0,Pet Supplies,13049
101,7489.229782748838,Gold,2023-12-26,0.0,Clothing,11260
9,6607.291096014137,Gold,2023-11-26,0.0,Clothing,18238
44,976.2211071584907,Bronze,2023-11-16,0.0,Sports and Outdoors,19256
17,3413.871476361328,Silver,2023-06-17,1.0,Pet Supplies,13579
56,1699.6274811320736,Silver,2023-01-21,1.0,Electronics,13813
63,12203.77978700685,Platinum,2023-11-30,0.0,Sports and Outdoors,18874
1,4650.1030939647535,Silver,2023-10-24,0.0,Grocery,14271
65,5676.022856429305,Gold,2023-12-21,0.0,Furniture,11105
12,3836.9755186694315,Silver,2023-06-28,1.0,Sports and Outdoors,13293
37,8633.250172973721,Gold,2023-11-22,0.0,Sports and Outdoors,10943
49,9047.598301958436,Gold,2023-11-10,0.0,Office Products,10093
93,12783.452931512144,Platinum,2023-11-26,0.0,Home and Kitchen,10038
40,8329.781386972598,Gold,2023-11-18,0.0,Office Products,13803
27,6651.110350398982,Gold,2023-12-15,0.0,Beauty,15000
9,2241.361725069461,Silver,2023-04-17,1.0,Grocery,15876
8,10479.019935466104,Platinum,2023-11-10,0.0,Clothing,13272
74,11639.783169426668,Platinum,2023-12-28,0.0,Grocery,14995
95,5002.601121338247,Gold,2023-11-22,0.0,Office Products,19259
49,5552.71552503983,Gold,2023-12-10,0.0,Electronics,10552
5,6767.79150593967,Gold,2023-11-02,0.0,Clothing,14585
90,4044.49186419273,Silver,2023-12-20,0.0,Office Products,15182
7,3412.785456862708,Silver,2023-05-31,1.0,Clothing,14938
44,8462.9515201066,Gold,2023-11-27,0.0,Health & Personal Care,17733
103,8481.72495383172,Gold,2023-12-01,0.0,Grocery,17657
89,3403.33298941655,Silver,2023-06-17,1.0,Grocery,16454
40,9270.517251898023,Gold,2023-03-30,1.0,Sports and Outdoors,12217
102,8344.849955844715,Gold,2023-11-15,0.0,Clothing,10352
45,5577.111642027467,Gold,2023-11-08,0.0,Health & Personal Care,10584
47,7680.827431171934,Gold,2023-11-22,0.0,Health & Personal Care,19520
20,8309.296883938225,Gold,2023-11-07,0.0,Home and Kitchen,15588
80,12360.68773547375,Platinum,2023-11-11,0.0,Furniture,18317
98,2390.425320607094,Silver,2023-11-27,0.0,Office Products,11683
99,3499.927262530405,Silver,2023-03-26,1.0,Office Products,10391
59,13144.94091396635,Platinum,2023-11-04,0.0,Electronics,15767
93,9775.389196193079,Gold,2023-11-06,0.0,Clothing,12966
2,3661.8655220125224,Silver,2023-07-31,1.0,Health & Personal Care,19232
21,553.6235804151877,Bronze,2023-05-03,1.0,Home and Kitchen,15312
73,11792.856710753793,Platinum,2023-12-03,0.0,Sports and Outdoors,13789
2,8017.082307621567,Gold,,1.0,Sports and Outdoors,14237
102,5797.00545169741,Gold,,0.0,Pet Supplies,18114
51,12129.17941406865,Platinum,2023-11-13,0.0,Health & Personal Care,18265
73,7431.331095982499,Gold,2023-11-19,0.0,Health & Personal Care,18119
26,3603.3593115002427,Silver,2023-09-05,1.0,Pet Supplies,19510
89,12777.723207726662,Platinum,2023-12-29,0.0,Health & Personal Care,14214
30,6446.618236469007,Gold,2023-12-03,0.0,Health & Personal Care,17575
26,11179.966570892962,Platinum,2023-12-01,0.0,Clothing,16713
77,11847.259706518635,Platinum,2023-11-10,0.0,Office Products,15863
88,10724.69377714342,Platinum,2023-12-23,0.0,Office Products,17827
54,9271.502740605269,Gold,2023-11-09,0.0,Electronics,10504
2,1778.9503252239617,Silver,2023-10-07,0.0,Sports and Outdoors,15445
28,1093.2419250650914,Silver,2023-04-17,1.0,Furniture,18337
71,4339.2395253154,Silver,2023-04-06,1.0,Health & Personal Care,10564
67,12381.843947820567,Platinum,2023-12-27,0.0,Clothing,11065
87,2990.5610122071134,Silver,2023-01-27,1.0,Furniture,17068
59,4448.122070933143,Silver,2023-05-31,1.0,Pet Supplies,17531
69,9525.093376176092,Gold,2023-01-28,1.0,Beauty,19706
80,2721.752085824684,Silver,2023-07-13,1.0,Sports and Outdoors,13515
78,8776.671250842423,Gold,,0.0,Electronics,18382
95,9113.061956463689,Gold,2023-11-03,0.0,Health & Personal Care,18078
7,11502.62936199695,Platinum,2023-11-13,0.0,Beauty,18517
6,10538.352008683818,Platinum,2023-12-15,0.0,Home and Kitchen,12414
2,2842.169900976385,Silver,2023-12-21,0.0,Home and Kitchen,11166
66,12753.640067087006,Platinum,2023-11-14,0.0,Sports and Outdoors,18769
99,10073.610086624023,Platinum,2023-11-07,0.0,Electronics,13622
76,7235.897523509053,Gold,2023-12-22,0.0,Clothing,18630
65,345.6278749102594,Bronze,2023-02-10,1.0,Electronics,19886
18,2111.286579920329,Silver,2023-01-06,1.0,Home and Kitchen,16057
46,12426.981553929396,Platinum,2023-11-29,0.0,Beauty,13536
19,3992.600207954145,Silver,,1.0,Electronics,15300
2,7955.514852933344,Gold,2023-11-18,0.0,Health & Personal Care,17923
38,10402.532991918839,Platinum,2023-12-19,,Beauty,12987
6,443.75137472710503,Bronze,2023-11-21,0.0,Clothing,10578
95,7179.830131202387,Gold,2023-09-21,1.0,Sports and Outdoors,17447
80,10743.797712417963,Platinum,2023-11-24,0.0,Beauty,11037
47,5204.7465318021295,Gold,2023-11-27,0.0,Health & Personal Care,15640
41,3326.9226905161468,Silver,2023-06-27,1.0,Health & Personal Care,11539
99,10951.809101535327,Platinum,2023-11-24,0.0,Grocery,17914
55,11194.323793347774,Platinum,2023-05-25,1.0,Clothing,17524
8,9258.018941456332,Gold,2023-11-09,0.0,Office Products,17054
100,5971.588844030415,Gold,2023-12-07,0.0,Beauty,12588
14,4206.271018811317,Silver,2023-10-13,0.0,Beauty,11195
35,3297.958790647708,Silver,2023-04-12,1.0,Clothing,19426
19,4238.428241224958,Silver,2023-02-19,1.0,Health & Personal Care,14714
62,10946.280783461156,Platinum,2023-03-13,,Sports and Outdoors,15405
2,3723.637974111338,Silver,,0.0,Furniture,15763
97,2708.9088136291684,Silver,2023-10-20,0.0,Furniture,13591
87,879.1992348942609,Bronze,2023-01-12,1.0,Beauty,12082
29,6621.399290707303,Gold,2023-02-25,1.0,Furniture,17832
17,7466.547141904729,Gold,2023-12-09,0.0,Pet Supplies,17601
83,12628.117642911286,Platinum,2023-11-17,0.0,Grocery,12020
69,923.369775815649,Bronze,,1.0,Furniture,14814
48,9364.115837006737,Gold,2023-08-06,1.0,Home and Kitchen,10441
49,11509.236124605377,Platinum,2023-12-29,0.0,Electronics,18246
56,9886.34203817363,Gold,2023-05-05,1.0,Health & Personal Care,18032
62,11619.627859534856,Platinum,,0.0,Office Products,17297
13,8100.553291680255,Gold,2023-12-13,0.0,Health & Personal Care,19915
46,6098.389826449082,Gold,2023-11-15,0.0,Clothing,12425
94,11064.870879704496,Platinum,2023-11-27,0.0,Furniture,17646
104,3656.097333420427,Silver,2023-04-08,1.0,Beauty,14076
35,7585.753320708293,Gold,2023-12-27,0.0,Clothing,19321
22,3451.2002510316784,Silver,2023-10-16,0.0,Electronics,10801
94,2716.86798426455,Silver,2023-08-25,1.0,Clothing,18736
82,9631.28281126229,Gold,2023-11-09,0.0,Grocery,13838
80,5816.802753572504,Gold,2023-12-09,0.0,Office Products,11622
56,9137.985212925118,Gold,2023-11-30,0.0,Office Products,12324
68,10429.74984579316,Platinum,2023-12-29,0.0,Beauty,14842
51,2417.9634163736664,Silver,2023-04-13,,Clothing,14083
26,6589.839233923423,Gold,2023-12-26,0.0,Furniture,19339
74,12952.293872830247,Platinum,2023-11-14,0.0,Electronics,17277
94,12116.07021903167,Platinum,2023-11-04,0.0,Grocery,10107
72,307.7846721293159,Bronze,2023-01-27,1.0,Beauty,18613
62,10657.985205934943,Platinum,2023-10-15,0.0,Pet Supplies,13440
89,7067.767539679028,Gold,2023-12-22,0.0,Sports and Outdoors,10863
38,12852.846250940916,Platinum,2023-11-05,0.0,Electronics,17811
33,2208.8316399546125,Silver,2023-03-28,1.0,Home and Kitchen,14675
57,11142.54126993348,Platinum,2023-12-09,0.0,Health & Personal Care,19042
45,8389.263650135586,Gold,2023-08-05,1.0,Clothing,10209
76,3353.221433624721,Silver,2023-06-09,1.0,Furniture,18465
77,3330.7627799935312,Silver,2023-08-08,1.0,Clothing,19185
42,9030.189214772288,Gold,2023-11-13,0.0,Sports and Outdoors,11977
